"","GEOID","NAME","variable","estimate","moe"
"1","19001","Adair County, Iowa","B19001A_001",,
"2","19003","Adams County, Iowa","B19001A_001",1446,86
"3","19005","Allamakee County, Iowa","B19001A_001",5560,207
"4","19007","Appanoose County, Iowa","B19001A_001",4766,177
"5","19009","Audubon County, Iowa","B19001A_001",2448,78
"6","19011","Benton County, Iowa","B19001A_001",9831,229
"7","19013","Black Hawk County, Iowa","B19001A_001",44928,662
"9","19017","Bremer County, Iowa","B19001A_001",9353,212
"10","19019","Buchanan County, Iowa","B19001A_001",7911,209
"11","19021","Buena Vista County, Iowa","B19001A_001",5418,199
"12","19023","Butler County, Iowa","B19001A_001",5662,116
"13","19025","Calhoun County, Iowa","B19001A_001",3736,135
"14","19027","Carroll County, Iowa","B19001A_001",8302,196
"15","19029","Cass County, Iowa","B19001A_001",5657,138
"16","19031","Cedar County, Iowa","B19001A_001",7337,191
"17","19033","Cerro Gordo County, Iowa","B19001A_001",18230,386
"18","19035","Cherokee County, Iowa","B19001A_001",4779,133
"19","19037","Chickasaw County, Iowa","B19001A_001",4802,155
"20","19039","Clarke County, Iowa","B19001A_001",3412,201
"21","19041","Clay County, Iowa","B19001A_001",6989,235
"22","19043","Clayton County, Iowa","B19001A_001",7176,194
"23","19045","Clinton County, Iowa","B19001A_001",18242,362
"24","19047","Crawford County, Iowa","B19001A_001",4731,237
"25","19049","Dallas County, Iowa","B19001A_001",35691,572
"26","19051","Davis County, Iowa","B19001A_001",3046,136
"27","19053","Decatur County, Iowa","B19001A_001",2850,127
"28","19055","Delaware County, Iowa","B19001A_001",6912,229
"29","19057","Des Moines County, Iowa","B19001A_001",15424,340
"30","19059","Dickinson County, Iowa","B19001A_001",8420,267
"31","19061","Dubuque County, Iowa","B19001A_001",37823,363
"32","19063","Emmet County, Iowa","B19001A_001",3718,147
"33","19065","Fayette County, Iowa","B19001A_001",7771,175
"34","19067","Floyd County, Iowa","B19001A_001",6170,215
"35","19069","Franklin County, Iowa","B19001A_001",3705,167
"36","19071","Fremont County, Iowa","B19001A_001",2575,85
"37","19073","Greene County, Iowa","B19001A_001",3675,107
"38","19075","Grundy County, Iowa","B19001A_001",5010,115
"39","19077","Guthrie County, Iowa","B19001A_001",4317,180
"40","19079","Hamilton County, Iowa","B19001A_001",5839,229
"41","19081","Hancock County, Iowa","B19001A_001",4364,113
"42","19083","Hardin County, Iowa","B19001A_001",6679,209
"43","19085","Harrison County, Iowa","B19001A_001",5809,123
"44","19087","Henry County, Iowa","B19001A_001",7155,221
"45","19089","Howard County, Iowa","B19001A_001",3520,195
"46","19091","Humboldt County, Iowa","B19001A_001",3954,104
"47","19093","Ida County, Iowa","B19001A_001",2824,96
"48","19095","Iowa County, Iowa","B19001A_001",6592,151
"49","19097","Jackson County, Iowa","B19001A_001",8041,218
"50","19099","Jasper County, Iowa","B19001A_001",14102,325
"51","19101","Jefferson County, Iowa","B19001A_001",6174,206
"52","19103","Johnson County, Iowa","B19001A_001",50902,674
"53","19105","Jones County, Iowa","B19001A_001",7805,201
"54","19107","Keokuk County, Iowa","B19001A_001",3965,104
"55","19109","Kossuth County, Iowa","B19001A_001",6205,138
"56","19111","Lee County, Iowa","B19001A_001",13638,295
"57","19113","Linn County, Iowa","B19001A_001",84403,807
"58","19115","Louisa County, Iowa","B19001A_001",3666,133
"59","19117","Lucas County, Iowa","B19001A_001",3594,123
"62","19123","Mahaska County, Iowa","B19001A_001",8510,234
"63","19125","Marion County, Iowa","B19001A_001",12949,220
"64","19127","Marshall County, Iowa","B19001A_001",12986,344
"65","19129","Mills County, Iowa","B19001A_001",5059,150
"66","19131","Mitchell County, Iowa","B19001A_001",4358,122
"67","19133","Monona County, Iowa","B19001A_001",3695,123
"68","19135","Monroe County, Iowa","B19001A_001",2934,168
"69","19137","Montgomery County, Iowa","B19001A_001",4364,125
"70","19139","Muscatine County, Iowa","B19001A_001",14782,362
"71","19141","O'Brien County, Iowa","B19001A_001",5421,222
"72","19143","Osceola County, Iowa","B19001A_001",2364,87
"73","19145","Page County, Iowa","B19001A_001",5971,209
"74","19147","Palo Alto County, Iowa","B19001A_001",3605,114
"75","19149","Plymouth County, Iowa","B19001A_001",9580,228
"76","19151","Pocahontas County, Iowa","B19001A_001",2848,100
"77","19153","Polk County, Iowa","B19001A_001",167458,1247
"78","19155","Pottawattamie County, Iowa","B19001A_001",34557,428
"79","19157","Poweshiek County, Iowa","B19001A_001",7494,229
"80","19159","Ringgold County, Iowa","B19001A_001",1749,91
"81","19161","Sac County, Iowa","B19001A_001",4075,108
"82","19163","Scott County, Iowa","B19001A_001",61528,654
"83","19165","Shelby County, Iowa","B19001A_001",4755,133
"84","19167","Sioux County, Iowa","B19001A_001",11382,225
"85","19169","Story County, Iowa","B19001A_001",32934,605
"86","19171","Tama County, Iowa","B19001A_001",5982,127
"87","19173","Taylor County, Iowa","B19001A_001",2349,85
"88","19175","Union County, Iowa","B19001A_001",4875,168
"89","19177","Van Buren County, Iowa","B19001A_001",2768,130
"90","19179","Wapello County, Iowa","B19001A_001",12451,342
"91","19181","Warren County, Iowa","B19001A_001",19592,316
"92","19183","Washington County, Iowa","B19001A_001",8521,137
"93","19185","Wayne County, Iowa","B19001A_001",2398,95
"94","19187","Webster County, Iowa","B19001A_001",14259,274
"95","19189","Winnebago County, Iowa","B19001A_001",4319,136
"96","19191","Winneshiek County, Iowa","B19001A_001",7914,196
"97","19193","Woodbury County, Iowa","B19001A_001",32603,619
"98","19195","Worth County, Iowa","B19001A_001",3104,104
"99","19197","Wright County, Iowa","B19001A_001",4784,169
